transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Day_name,month_name,date_of_month,Day_Classification,Time_Classification,Time_classification,Spend_bucket,Revenue
55,2023-01-01,2026-03-17T09:19:26.000Z,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.5
56,2023-01-01,2026-03-17T09:21:08.000Z,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
57,2023-01-01,2026-03-17T09:22:17.000Z,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
58,2023-01-01,2026-03-17T09:22:46.000Z,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.45
59,2023-01-01,2026-03-17T09:29:56.000Z,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7.5
60,2023-01-01,2026-03-17T09:29:56.000Z,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.5
61,2023-01-01,2026-03-17T09:29:57.000Z,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
62,2023-01-01,2026-03-17T09:34:17.000Z,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,8.5
63,2023-01-01,2026-03-17T09:40:13.000Z,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.25
64,2023-01-01,2026-03-17T09:41:22.000Z,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
65,2023-01-01,2026-03-17T09:41:22.000Z,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
66,2023-01-01,2026-03-17T09:44:20.000Z,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,5
67,2023-01-01,2026-03-17T09:44:46.000Z,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
68,2023-01-01,2026-03-17T09:46:46.000Z,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
69,2023-01-01,2026-03-17T09:47:40.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7.5
70,2023-01-01,2026-03-17T09:50:44.000Z,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
71,2023-01-01,2026-03-17T09:50:44.000Z,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.25
72,2023-01-01,2026-03-17T09:52:58.000Z,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
73,2023-01-01,2026-03-17T09:53:28.000Z,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
74,2023-01-01,2026-03-17T09:53:44.000Z,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7.5
75,2023-01-01,2026-03-17T09:53:44.000Z,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.25
76,2023-01-01,2026-03-17T09:53:49.000Z,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.1
77,2023-01-01,2026-03-17T09:54:46.000Z,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
78,2023-01-01,2026-03-17T09:55:16.000Z,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
79,2023-01-01,2026-03-17T09:56:30.000Z,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2
80,2023-01-01,2026-03-17T10:00:39.000Z,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
81,2023-01-01,2026-03-17T10:03:55.000Z,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7.5
82,2023-01-01,2026-03-17T10:14:49.000Z,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
83,2023-01-01,2026-03-17T10:14:49.000Z,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
84,2023-01-01,2026-03-17T10:16:30.000Z,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
85,2023-01-01,2026-03-17T10:16:33.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
86,2023-01-01,2026-03-17T10:18:14.000Z,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,8.5
87,2023-01-01,2026-03-17T10:18:52.000Z,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.4
88,2023-01-01,2026-03-17T10:19:42.000Z,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,5
89,2023-01-01,2026-03-17T10:24:19.000Z,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
90,2023-01-01,2026-03-17T10:25:22.000Z,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,5.1
91,2023-01-01,2026-03-17T10:25:45.000Z,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7
92,2023-01-01,2026-03-17T10:25:45.000Z,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.5
93,2023-01-01,2026-03-17T10:27:48.000Z,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
94,2023-01-01,2026-03-17T10:30:07.000Z,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.1
95,2023-01-01,2026-03-17T10:30:07.000Z,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.25
96,2023-01-01,2026-03-17T10:35:47.000Z,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
97,2023-01-01,2026-03-17T10:41:53.000Z,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.5
98,2023-01-01,2026-03-17T10:47:53.000Z,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,7.5
99,2023-01-01,2026-03-17T10:49:13.000Z,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
100,2023-01-01,2026-03-17T10:49:51.000Z,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,9.5
101,2023-01-01,2026-03-17T10:51:17.000Z,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
102,2023-01-01,2026-03-17T10:52:44.000Z,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,5
103,2023-01-01,2026-03-17T10:52:44.000Z,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
104,2023-01-01,2026-03-17T10:56:14.000Z,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
105,2023-01-01,2026-03-17T10:56:14.000Z,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.5
106,2023-01-01,2026-03-17T11:01:48.000Z,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2
107,2023-01-01,2026-03-17T11:01:58.000Z,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
108,2023-01-01,2026-03-17T11:01:58.000Z,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.5
109,2023-01-01,2026-03-17T11:03:25.000Z,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
110,2023-01-01,2026-03-17T11:03:25.000Z,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.5
111,2023-01-01,2026-03-17T11:04:32.000Z,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,8.5
112,2023-01-01,2026-03-17T11:08:11.000Z,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.5
113,2023-01-01,2026-03-17T11:08:59.000Z,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
114,2023-01-01,2026-03-17T11:09:01.000Z,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,4.5
115,2023-01-01,2026-03-17T11:10:21.000Z,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
116,2023-01-01,2026-03-17T11:10:21.000Z,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
117,2023-01-01,2026-03-17T11:10:58.000Z,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,2.5
118,2023-01-01,2026-03-17T11:12:29.000Z,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3
119,2023-01-01,2026-03-17T11:16:02.000Z,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
120,2023-01-01,2026-03-17T11:21:00.000Z,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,5
121,2023-01-01,2026-03-17T11:21:04.000Z,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,6
122,2023-01-01,2026-03-17T11:21:14.000Z,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,weekday,02.Mid Morning,02.Mid Morning,01.Low Spend,3.75
